"Date","Passage"
"2026-11-28","2 Kgs 22-24","77"
"2026-11-29","2 Kgs 25; 1 Chr 1-3","163"
"2026-11-30","1 Chr 4-7","190"
"2026-12-01","1 Chr 8-11","145"
"2026-12-02","1 Chr 12-15","100"
"2026-12-03","1 Chr 16-18","87"
"2026-12-04","1 Chr 19-22","76"
"2026-12-05","1 Chr 23-26","126"
"2026-12-06","1 Chr 27-29; 2 Chr 1","102"
"2026-12-07","2 Chr 2-5","71"
"2026-12-08","2 Chr 6-8","82"
"2026-12-09","2 Chr 9-12","89"
"2026-12-10","2 Chr 13-16","70"
"2026-12-11","2 Chr 17-20","101"
"2026-12-12","2 Chr 21-24","80"
"2026-12-13","2 Chr 25-27","60"
"2026-12-14","2 Chr 28-31","111"
"2026-12-15","2 Chr 32-35","118"
"2026-12-16","2 Chr 36; Ezr 1-3","117"
"2026-12-17","Ezr 4-7","91"
"2026-12-18","Ezr 8-10","95"
"2026-12-19","Neh 1-4","86"
"2026-12-20","Neh 5-8","129"
"2026-12-21","Neh 9-12","160"
"2026-12-22","Neh 13; Est 1-3","91"
"2026-12-23","Est 4-6","45"
"2026-12-24","Est 7-10","62"
"2026-12-25","Job 1-4","82"
"2026-12-26","Job 5-8","100"
"2026-12-27","Job 9-12","102"
"2026-12-28","Job 13-15","85"
"2026-12-29","Job 16-19","88"
"2026-12-30","Job 20-23","110"
"2026-12-31","Job 24-27","68"
"2027-01-01","Job 28-31","124"
"2027-01-02","Job 32-34","92"
"2027-01-03","Job 35-38","114"
"2027-01-04","Job 39-42","105"
"2027-01-05","Ps 1-4","34"
"2027-01-06","Ps 5-8","48"
"2027-01-07","Ps 9-11","45"
"2027-01-08","Ps 12-15","26"
"2027-01-09","Ps 16-19","90"
"2027-01-10","Ps 20-23","59"
"2027-01-11","Ps 24-27","58"
"2027-01-12","Ps 28-30","32"
"2027-01-13","Ps 31-34","79"
"2027-01-14","Ps 35-38","102"
"2027-01-15","Ps 39-42","54"
"2027-01-16","Ps 43-46","59"
"2027-01-17","Ps 47-49","43"
"2027-01-18","Ps 50-53","57"
"2027-01-19","Ps 54-57","54"
"2027-01-20","Ps 58-61","48"
"2027-01-21","Ps 62-65","46"
"2027-01-22","Ps 66-68","62"
"2027-01-23","Ps 69-72","85"
"2027-01-24","Ps 73-76","73"
"2027-01-25","Ps 77-80","124"
"2027-01-26","Ps 81-83","42"
"2027-01-27","Ps 84-87","49"
"2027-01-28","Ps 88-91","103"
"2027-01-29","Ps 92-95","54"
"2027-01-30","Ps 96-99","43"
"2027-01-31","Ps 100-102","41"
"2027-02-01","Ps 103-106","150"
"2027-02-02","Ps 107-110","94"
"2027-02-03","Ps 111-114","37"
"2027-02-04","Ps 115-118","68"
"2027-02-05","Ps 119-121","191"
"2027-02-06","Ps 122-125","26"
"2027-02-07","Ps 126-129","25"
"2027-02-08","Ps 130-133","32"
"2027-02-09","Ps 134-137","59"
"2027-02-10","Ps 138-140","45"
"2027-02-11","Ps 141-144","44"
"2027-02-12","Ps 145-148","65"
"2027-02-13","Ps 149-150; Pro 1-2","70"
"2027-02-14","Pro 3-6","120"
"2027-02-15","Pro 7-9","81"
"2027-02-16","Pro 10-13","116"
"2027-02-17","Pro 14-17","129"
"2027-02-18","Pro 18-21","114"
"2027-02-19","Pro 22-25","126"
"2027-02-20","Pro 26-28","83"
"2027-02-21","Pro 29-31; Ecc 1","109"
"2027-02-22","Ecc 2-5","84"
"2027-02-23","Ecc 6-9","76"
"2027-02-24","Ecc 10-12; Sos 1","61"
"2027-02-25","Sos 2-4","44"
"2027-02-26","Sos 5-8","56"
"2027-02-27","Isa 1-4","85"
"2027-02-28","Isa 5-8","90"
"2027-03-01","Isa 9-12","77"
"2027-03-02","Isa 13-15","63"
"2027-03-03","Isa 16-19","60"
"2027-03-04","Isa 20-23","66"
"2027-03-05","Isa 24-27","69"
"2027-03-06","Isa 28-31","95"
"2027-03-07","Isa 32-34","61"
"2027-03-08","Isa 35-38","92"
"2027-03-09","Isa 39-42","93"
"2027-03-10","Isa 43-46","94"
"2027-03-11","Isa 47-50","74"
"2027-03-12","Isa 51-53","50"
"2027-03-13","Isa 54-57","63"
"2027-03-14","Isa 58-61","68"
"2027-03-15","Isa 62-65","68"
"2027-03-16","Isa 66; Jer 1-3","105"
"2027-03-17","Jer 4-6","92"
"2027-03-18","Jer 7-10","107"
"2027-03-19","Jer 11-14","89"
"2027-03-20","Jer 15-18","92"
"2027-03-21","Jer 19-22","77"
"2027-03-22","Jer 23-25","88"
"2027-03-23","Jer 26-29","95"
"2027-03-24","Jer 30-33","134"
"2027-03-25","Jer 34-37","94"
"2027-03-26","Jer 38-41","80"
"2027-03-27","Jer 42-44","65"
"2027-03-28","Jer 45-48","87"
"2027-03-29","Jer 49-52","183"
"2027-03-30","Lam 1-4","132"
"2027-03-31","Lam 5; Eze 1-3","87"
"2027-04-01","Eze 4-6","48"
"2027-04-02","Eze 7-10","78"
"2027-04-03","Eze 11-14","99"
"2027-04-04","Eze 15-18","127"
"2027-04-05","Eze 19-22","126"
"2027-04-06","Eze 23-25","93"
"2027-04-07","Eze 26-29","104"
"2027-04-08","Eze 30-33","109"
"2027-04-09","Eze 34-37","112"
"2027-04-10","Eze 38-40","101"
"2027-04-11","Eze 41-44","104"
"2027-04-12","Eze 45-48","107"
"2027-04-13","Dan 1-4","137"
"2027-04-14","Dan 5-8","114"
"2027-04-15","Dan 9-11","93"
"2027-04-16","Dan 12; Hos 1-3","52"
"2027-04-17","Hos 4-7","61"
"2027-04-18","Hos 8-11","58"
"2027-04-19","Hos 12-14; Joe 1","59"
"2027-04-20","Joe 2-3; Amo 1","68"
"2027-04-21","Amo 2-5","71"
"2027-04-22","Amo 6-9","60"
"2027-04-23","Oba; Jon 1-3","58"
"2027-04-24","Jon 4; Mic 1-3","52"
"2027-04-25","Mic 4-6","44"
"2027-04-26","Mic 7; Nah 1-3","67"
"2027-04-27","Hab 1-3; Zep 1","74"
"2027-04-28","Zep 2-3; Hag 1-2","73"
"2027-04-29","Zec 1-4","58"
"2027-04-30","Zec 5-7","40"
"2027-05-01","Zec 8-11","69"
"2027-05-02","Zec 12-14; Mal 1","58"
"2027-05-03","Mal 2-4; Tob 1","63"
"2027-05-04","Tob 2-5","74"
"2027-05-05","Tob 6-8","56"
"2027-05-06","Tob 9-12","59"
"2027-05-07","Tob 13-14; Jud 1-2","77"
"2027-05-08","Jud 3-6","70"
"2027-05-09","Jud 7-10","105"
"2027-05-10","Jud 11-13","63"
"2027-05-11","Jud 14-16; AddEst 1","74"
"2027-05-12","AddEst 2-5","55"
"2027-05-13","AddEst 6; Wis 1-3","65"
"2027-05-14","Wis 4-7","98"
"2027-05-15","Wis 8-10","60"
"2027-05-16","Wis 11-14","103"
"2027-05-17","Wis 15-18","94"
"2027-05-18","Wis 19; Sir 1-3","101"
"2027-05-19","Sir 4-7","119"
"2027-05-20","Sir 8-10","68"
"2027-05-21","Sir 11-14","105"
"2027-05-22","Sir 15-18","113"
"2027-05-23","Sir 19-22","115"
"2027-05-24","Sir 23-26","119"
"2027-05-25","Sir 27-29","79"
"2027-05-26","Sir 30-33","112"
"2027-05-27","Sir 34-37","111"
"2027-05-28","Sir 38-41","114"
"2027-05-29","Sir 42-45","101"
"2027-05-30","Sir 46-48","66"
"2027-05-31","Sir 49-50; Bar 1-2","116"
"2027-06-01","Bar 3-5; LetJer","156"
"2027-06-02","S3y; Sus; Bel; 1 Mac 1","238"
"2027-06-03","1 Mac 2-5","259"
"2027-06-04","1 Mac 6-8","145"
"2027-06-05","1 Mac 9-12","289"
"2027-06-06","1 Mac 13-16","167"
"2027-06-07","2 Mac 1-4","158"
"2027-06-08","2 Mac 5-8","136"
"2027-06-09","2 Mac 9-11","105"
"2027-06-10","2 Mac 12-15","156"
"2027-06-11","1 Es 1-4","175"
"2027-06-12","1 Es 5-8","218"
"2027-06-13","1 Es 9; Man; Ps; 3 Mac 1","106"
"2027-06-14","3 Mac 2-4","84"
"2027-06-15","3 Mac 5-7; 2 Esd 1","155"
"2027-06-16","2 Esd 2-5","192"
"2027-06-17","2 Esd 6-9","239"
"2027-06-18","2 Esd 10-13","214"
"2027-06-19","2 Esd 14-16","189"
"2027-06-20","4 Mac 1-4","105"
"2027-06-21","4 Mac 5-8","125"
"2027-06-22","4 Mac 9-12","99"
"2027-06-23","4 Mac 13-15","79"
"2027-06-24","4 Mac 16-18; Mat 1","98"
"2027-06-25","Mat 2-5","113"
"2027-06-26","Mat 6-9","135"
"2027-06-27","Mat 10-13","180"
"2027-06-28","Mat 14-16","103"
"2027-06-29","Mat 17-20","126"
"2027-06-30","Mat 21-24","182"
"2027-07-01","Mat 25-28","207"
"2027-07-02","Mk 1-4","149"
"2027-07-03","Mk 5-7","136"
"2027-07-04","Mk 8-11","173"
"2027-07-05","Mk 12-15","200"
"2027-07-06","Mk 16; Luk 1-3","190"
"2027-07-07","Luk 4-7","182"
"2027-07-08","Luk 8-10","160"
"2027-07-09","Luk 11-14","183"
"2027-07-10","Luk 15-18","143"
"2027-07-11","Luk 19-22","204"
"2027-07-12","Luk 23-24; John 1-2","185"
"2027-07-13","John 3-5","137"
"2027-07-14","John 6-9","224"
"2027-07-15","John 10-13","187"
"2027-07-16","John 14-17","117"
"2027-07-17","John 18-21","138"
"2027-07-18","Acts 1-3","99"
"2027-07-19","Acts 4-7","154"
"2027-07-20","Acts 8-11","161"
"2027-07-21","Acts 12-15","146"
"2027-07-22","Acts 16-19","143"
"2027-07-23","Acts 20-22","108"
"2027-07-24","Acts 23-26","121"
"2027-07-25","Acts 27-28; Rom 1-2","136"
"2027-07-26","Rom 3-6","100"
"2027-07-27","Rom 7-10","118"
"2027-07-28","Rom 11-13","71"
"2027-07-29","Rom 14-16; 1 Co 1","114"
"2027-07-30","1 Co 2-5","73"
"2027-07-31","1 Co 6-9","100"
"2027-08-01","1 Co 10-13","111"
"2027-08-02","1 Co 14-16","122"
"2027-08-03","2 Co 1-4","77"
"2027-08-04","2 Co 5-8","79"
"2027-08-05","2 Co 9-12","87"
"2027-08-06","2 Co 13; Gal 1-3","88"
"2027-08-07","Gal 4-6","75"
"2027-08-08","Eph 1-4","98"
"2027-08-09","Eph 5-6; Phil 1-2","117"
"2027-08-10","Phil 3-4; Col 1-2","96"
"2027-08-11","Col 3-4; 1 Th 1-2","73"
"2027-08-12","1 Th 3-5","59"
"2027-08-13","2 Th 1-3; 1 Ti 1","67"
"2027-08-14","1 Ti 2-5","72"
"2027-08-15","1 Ti 6; 2 Ti 1-3","82"
"2027-08-16","2 Ti 4; Tit 1-3","68"
"2027-08-17","Phlm; Heb 1-2","57"
"2027-08-18","Heb 3-6","69"
"2027-08-19","Heb 7-10","108"
"2027-08-20","Heb 11-13; Jam 1","121"
"2027-08-21","Jam 2-5","81"
"2027-08-22","1 Pe 1-3","72"
"2027-08-23","1 Pe 4-5; 2 Pe 1-2","76"
"2027-08-24","2 Pe 3; 1 Jn 1-3","81"
"2027-08-25","1 Jn 4-5; 2 Jn; 3 Jn","69"
"2027-08-26","Jude; Rev 1-3","96"
"2027-08-27","Rev 4-6","42"
"2027-08-28","Rev 7-10","62"
"2027-08-29","Rev 11-14","74"
"2027-08-30","Rev 15-18","71"
"2027-08-31","Rev 19-22","83"
